Job,Operation,Machine,Start,End,Duration
1,2,1,8.0,11.0,3
4,2,1,16.0,21.0,5
3,4,1,21.0,30.0,9
6,4,1,30.0,40.0,10
2,5,1,40.0,50.0,10
5,5,1,50.0,53.0,3
2,1,2,0.0,8.0,8
6,1,2,8.0,11.0,3
4,1,2,11.0,16.0,5
1,3,2,16.0,22.0,6
5,2,2,22.0,25.0,3
3,5,2,37.0,38.0,1
3,1,3,1.0,6.0,5
1,1,3,7.0,8.0,1
2,2,3,8.0,13.0,5
5,1,3,13.0,22.0,9
4,3,3,22.0,27.0,5
6,6,3,49.0,50.0,1
3,2,4,6.0,10.0,4
6,2,4,11.0,14.0,3
4,4,4,27.0,30.0,3
1,4,4,30.0,37.0,7
2,6,4,50.0,54.0,4
5,6,4,54.0,55.0,1
2,3,5,13.0,23.0,10
5,3,5,25.0,30.0,5
4,5,5,30.0,38.0,8
3,6,5,38.0,45.0,7
6,5,5,45.0,49.0,4
1,6,5,49.0,55.0,6
3,3,6,10.0,18.0,8
6,3,6,18.0,27.0,9
2,4,6,27.0,37.0,10
1,5,6,37.0,40.0,3
5,4,6,40.0,44.0,4
4,6,6,44.0,53.0,9
