Job,Operation,Machine,Start,End,Duration
9,1,1,0,76,76
5,1,3,0,14,14
8,1,3,14,45,31
4,1,2,0,81,81
6,1,3,45,129,84
8,2,1,76,162,86
4,2,3,129,224,95
10,1,2,81,166,85
6,2,2,166,168,2
2,1,1,162,205,43
7,1,2,168,214,46
2,2,3,224,314,90
6,3,6,168,220,52
5,2,1,205,211,6
8,3,2,214,260,46
4,3,1,224,295,71
6,4,4,220,315,95
5,3,2,260,282,22
10,2,1,295,308,13
9,2,2,282,351,69
1,1,1,308,337,29
9,3,4,351,427,76
4,4,5,295,394,99
2,3,5,394,469,75
8,4,6,260,334,74
5,4,6,334,395,61
10,3,3,314,375,61
2,4,10,469,480,11
4,5,7,394,403,9
5,5,4,427,453,26
10,4,7,403,410,7
3,1,2,351,442,91
3,2,1,442,527,85
1,2,2,442,520,78
6,5,9,315,363,48
2,5,4,480,549,69
4,6,9,403,455,52
9,4,6,427,478,51
8,5,5,469,501,32
3,3,4,549,588,39
9,5,3,478,563,85
5,6,5,501,570,69
7,2,1,527,564,37
10,5,9,455,519,64
2,6,2,549,577,28
10,6,10,519,595,76
8,6,7,501,589,88
1,3,3,563,572,9
5,7,9,570,591,21
9,6,10,595,606,11
8,7,9,591,610,19
9,7,7,606,646,40
10,7,6,595,642,47
4,7,8,455,540,85
3,4,3,588,662,74
3,5,9,662,752,90
7,3,4,588,649,61
1,4,4,649,685,36
6,6,10,606,678,72
5,8,8,591,640,49
9,8,8,646,735,89
7,4,3,662,675,13
8,8,10,678,726,48
7,5,7,675,707,32
7,6,6,707,728,21
6,7,1,678,725,47
7,7,10,728,760,32
2,7,7,707,753,46
4,8,4,685,783,98
1,5,5,685,734,49
1,6,6,734,745,11
7,8,9,760,849,89
10,8,4,783,835,52
8,9,8,735,771,36
4,9,10,783,805,22
9,9,5,735,761,26
3,6,6,752,762,10
3,7,8,771,783,12
1,7,7,753,815,62
2,8,6,762,808,46
2,9,8,808,880,72
9,10,9,849,923,74
10,9,5,835,925,90
7,9,8,880,910,30
3,8,7,815,904,89
2,10,9,923,953,30
7,10,5,925,980,55
6,8,7,904,969,65
5,9,10,805,877,72
8,10,4,835,914,79
6,9,5,980,986,6
4,10,6,808,851,43
3,9,10,904,949,45
1,8,8,910,966,56
1,9,9,966,1010,44
3,10,5,986,1019,33
1,10,10,1010,1031,21
10,10,8,966,1011,45
5,10,7,969,1022,53
6,10,8,1011,1036,25
