Job,Operation,Machine,Start,End,Duration
1,2,1,12.0,15.0,3
4,2,1,15.0,20.0,5
3,4,1,20.0,29.0,9
6,4,1,29.0,39.0,10
2,5,1,40.0,50.0,10
5,5,1,50.0,53.0,3
2,1,2,0.0,8.0,8
4,1,2,9.0,14.0,5
6,1,2,14.0,17.0,3
5,2,2,22.0,25.0,3
3,5,2,29.0,30.0,1
1,3,2,30.0,36.0,6
3,1,3,0.0,5.0,5
1,1,3,7.0,8.0,1
2,2,3,8.0,13.0,5
5,1,3,13.0,22.0,9
4,3,3,22.0,27.0,5
6,6,3,49.0,50.0,1
3,2,4,8.0,12.0,4
6,2,4,17.0,20.0,3
4,4,4,33.0,36.0,3
1,4,4,36.0,43.0,7
2,6,4,50.0,54.0,4
5,6,4,54.0,55.0,1
2,3,5,13.0,23.0,10
5,3,5,25.0,30.0,5
3,6,5,30.0,37.0,7
4,5,5,37.0,45.0,8
6,5,5,45.0,49.0,4
1,6,5,49.0,55.0,6
3,3,6,12.0,20.0,8
6,3,6,20.0,29.0,9
2,4,6,29.0,39.0,10
5,4,6,39.0,43.0,4
1,5,6,43.0,46.0,3
4,6,6,46.0,55.0,9
