,Pre_Semester_GPA,Weekly_GenAI_Hours,Tool_Diversity,Traditional_Study_Hours,Perceived_AI_Dependency,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,GPA_Change,Total_Learning_Hours,AI_to_Study_Time_Ratio,Dependency_Adjusted_AI_Usage,Anxiety_Dependency_Interaction,Early_Warning_Risk_Index,Learning_Balance_Score
Pre_Semester_GPA,1.0,-0.0011,-0.0057,-0.0049,0.0009,-0.0006,0.9265,0.0987,-0.1078,-0.004,0.0059,-0.0015,0.0004,-0.3513,0.4498
Weekly_GenAI_Hours,-0.0011,1.0,0.0087,-0.1546,0.6492,0.2674,-0.0134,-0.0947,-0.0326,0.784,0.6598,0.9164,0.5731,0.731,-0.4848
Tool_Diversity,-0.0057,0.0087,1.0,0.0036,0.0061,0.0032,0.0253,0.1975,0.0813,0.0099,0.0017,0.0071,0.0055,0.0071,-0.0052
Traditional_Study_Hours,-0.0049,-0.1546,0.0036,1.0,-0.1027,-0.0409,0.1375,0.1475,0.3759,0.4922,-0.4944,-0.1484,-0.0911,-0.4562,0.5149
Perceived_AI_Dependency,0.0009,0.6492,0.0061,-0.1027,1.0,0.3074,-0.0137,-0.0816,-0.0383,0.5074,0.439,0.8038,0.7828,0.7261,-0.6372
Anxiety_Level_During_Exams,-0.0006,0.2674,0.0032,-0.0409,0.3074,1.0,-0.0156,-0.0404,-0.0398,0.2099,0.1733,0.2954,0.7613,0.5702,-0.6099
Post_Semester_GPA,0.9265,-0.0134,0.0253,0.1375,-0.0137,-0.0156,1.0,0.1681,0.2742,0.0746,-0.0621,-0.0239,-0.0216,-0.3904,0.4943
Skill_Retention_Score,0.0987,-0.0947,0.1975,0.1475,-0.0816,-0.0404,0.1681,1.0,0.192,0.0092,-0.1242,-0.1253,-0.0884,-0.1633,0.1664
GPA_Change,-0.1078,-0.0326,0.0813,0.3759,-0.0383,-0.0398,0.2742,0.192,1.0,0.2075,-0.179,-0.0594,-0.0581,-0.1336,0.1565
Total_Learning_Hours,-0.004,0.784,0.0099,0.4922,0.5074,0.2099,0.0746,0.0092,0.2075,1.0,0.2707,0.7142,0.4477,0.3574,-0.1036
AI_to_Study_Time_Ratio,0.0059,0.6598,0.0017,-0.4944,0.439,0.1733,-0.0621,-0.1242,-0.179,0.2707,1.0,0.6273,0.3864,0.6211,-0.4977
Dependency_Adjusted_AI_Usage,-0.0015,0.9164,0.0071,-0.1484,0.8038,0.2954,-0.0239,-0.1253,-0.0594,0.7142,0.6273,1.0,0.7052,0.7639,-0.5648
Anxiety_Dependency_Interaction,0.0004,0.5731,0.0055,-0.0911,0.7828,0.7613,-0.0216,-0.0884,-0.0581,0.4477,0.3864,0.7052,1.0,0.7788,-0.7392
Early_Warning_Risk_Index,-0.3513,0.731,0.0071,-0.4562,0.7261,0.5702,-0.3904,-0.1633,-0.1336,0.3574,0.6211,0.7639,0.7788,1.0,-0.9512
Learning_Balance_Score,0.4498,-0.4848,-0.0052,0.5149,-0.6372,-0.6099,0.4943,0.1664,0.1565,-0.1036,-0.4977,-0.5648,-0.7392,-0.9512,1.0
