Feature,Mutual_Information
Dependency_Adjusted_AI_Usage,0.13371853712240944
Weekly_GenAI_Hours,0.12873383196627164
Early_Warning_Risk_Index,0.11331600538033482
AI_to_Study_Time_Ratio,0.107524511404121
High_AI_Use_Flag,0.09482629411869947
Perceived_AI_Dependency,0.0771018585839327
Total_Learning_Hours,0.06718453871518704
Anxiety_Dependency_Interaction,0.06217252668125206
Anxiety_Level_During_Exams,0.017772730192897823
Traditional_Study_Hours,0.011667840069964575
Year_of_Study_Graduate,0.010598259069680038
Year_of_Study_Freshman,0.0089451608150668
Paid_Subscription_False,0.006230872262797504
Major_Category_Business,0.005624848610456645
Institutional_Policy_Actively_Encouraged,0.0051958397657931865
Paid_Subscription_True,0.004805976162149284
Year_of_Study_Junior,0.004399727801008835
Pre_Semester_GPA,0.004193728247758655
Major_Category_STEM,0.0035955402826117755
Prompt_Engineering_Skill_Advanced,0.0035868044886615547
Prompt_Engineering_Skill_Beginner,0.0031377015158720045
Year_of_Study_Sophomore,0.002765729791381899
Institutional_Policy_Allowed_With_Citation,0.0025383964158816053
Year_of_Study_Senior,0.0020139825110998544
Institutional_Policy_Strict_Ban,0.001939164468568011
Major_Category_Humanities,0.0013315538129328175
Tool_Diversity,0.0012799478860892055
Primary_Use_Case_Debugging/Troubleshooting,0.0011711638961884319
Primary_Use_Case_Summarizing_Reading,0.0009989003063204382
Major_Category_Medical,0.0
Major_Category_Arts,0.0
Primary_Use_Case_Ideation,0.0
Primary_Use_Case_Direct_Answer_Generation,0.0
Primary_Use_Case_Copywriting/Drafting,0.0
Prompt_Engineering_Skill_Intermediate,0.0
