Component,Explained_Variance_Ratio,Cumulative_Explained_Variance
1,0.4798509438127855,0.4798509438127855
2,0.14122567668733496,0.6210766205001205
3,0.10880221362048449,0.729878834120605
4,0.08974497641889531,0.8196238105395003
5,0.08327502109599329,0.9028988316354936
6,0.046334493291301605,0.9492333249267951
7,0.027334920408685244,0.9765682453354804
8,0.014093550339368184,0.9906617956748486
9,0.005939013694429085,0.9966008093692776
10,0.0033991906307224017,1.0
11,6.7183654007967825e-18,1.0
12,0.0,1.0
