Feature,Importance
Weekly_GenAI_Hours,0.11464425812970157
Dependency_Adjusted_AI_Usage,0.11106422227549961
Early_Warning_Risk_Index,0.09517728946226257
AI_to_Study_Time_Ratio,0.09356584288527754
Total_Learning_Hours,0.07732047678746591
Pre_Semester_GPA,0.07476167396440887
Traditional_Study_Hours,0.06739857989357059
Anxiety_Dependency_Interaction,0.04646201366637359
Anxiety_Level_During_Exams,0.03339806626240211
Tool_Diversity,0.029047066243604622
Perceived_AI_Dependency,0.028975867462632594
High_AI_Use_Flag,0.020492355509202958
Year_of_Study_Graduate,0.013210952878303336
Institutional_Policy_Allowed_With_Citation,0.011040486061133692
Prompt_Engineering_Skill_Intermediate,0.011035939292815579
Prompt_Engineering_Skill_Beginner,0.010471136503547834
Year_of_Study_Freshman,0.010427265257228244
Institutional_Policy_Actively_Encouraged,0.010001620396692619
Major_Category_STEM,0.009822761398997862
Major_Category_Business,0.009538245700501621
Paid_Subscription_False,0.009457497687043069
Primary_Use_Case_Debugging/Troubleshooting,0.009439358337975875
Primary_Use_Case_Copywriting/Drafting,0.009413763156117734
Paid_Subscription_True,0.009412652887163779
Prompt_Engineering_Skill_Advanced,0.00934316337921649
Institutional_Policy_Strict_Ban,0.009243156247934212
Primary_Use_Case_Ideation,0.008988741520681794
Major_Category_Humanities,0.008473857376440404
Primary_Use_Case_Summarizing_Reading,0.0080392392725239
Year_of_Study_Senior,0.007127012544296175
Year_of_Study_Junior,0.007031170787937415
Year_of_Study_Sophomore,0.006923668770086837
Primary_Use_Case_Direct_Answer_Generation,0.006491067603148748
Major_Category_Medical,0.006412018790135625
Major_Category_Arts,0.006347511607674536
