Feature,Mutual_Information
Dependency_Adjusted_AI_Usage,0.130495653227791
Weekly_GenAI_Hours,0.12834041915076955
Skill_Retention_Per_AI_Hour,0.12236221698043814
Early_Warning_Risk_Index,0.11333238058266182
AI_to_Study_Time_Ratio,0.10712521366729177
High_AI_Use_Flag,0.0971461073386759
Perceived_AI_Dependency,0.07971292734455138
Total_Learning_Hours,0.06960269567203303
Learning_Balance_Score,0.06692113039931669
Anxiety_Dependency_Interaction,0.06355723442667194
Anxiety_Level_During_Exams,0.01846209687700906
Traditional_Study_Hours,0.012484823782945131
Academic_Productivity_Index,0.010170285221847708
Paid_Subscription_False,0.009719344056483337
Paid_Subscription_True,0.009239742283481123
Year_of_Study_Graduate,0.009145749281364912
Balanced_Learning_Index,0.009037113142757791
Prompt_Engineering_Skill_Beginner,0.007985817500915982
GPA_Change,0.0074661310980923545
Institutional_Policy_Allowed_With_Citation,0.007163868556405717
Year_of_Study_Freshman,0.006661282883334563
Year_of_Study_Sophomore,0.00653215697449161
Tool_Diversity,0.005949873264921246
GPA_Drop_Flag,0.0052598400731564965
Post_Semester_GPA,0.005008630809521852
Major_Category_Medical,0.0039328555159332534
Institutional_Policy_Actively_Encouraged,0.0037922281774924738
Skill_Retention_Score,0.003473447851546352
Major_Category_Humanities,0.0033254574040579854
Primary_Use_Case_Summarizing_Reading,0.0031377263030007985
Pre_Semester_GPA,0.0029007305208135215
Institutional_Policy_Strict_Ban,0.002531994469559873
Low_Skill_Retention_Flag,0.002112546739380994
Major_Category_Business,0.0014353777428182113
Year_of_Study_Senior,0.0008203018912291693
Major_Category_STEM,0.0006669500604445933
Prompt_Engineering_Skill_Advanced,0.0006203176073531491
Major_Category_Arts,0.0005397957202173398
Primary_Use_Case_Ideation,0.0
Primary_Use_Case_Copywriting/Drafting,0.0
Year_of_Study_Junior,0.0
Primary_Use_Case_Direct_Answer_Generation,0.0
Primary_Use_Case_Debugging/Troubleshooting,0.0
Prompt_Engineering_Skill_Intermediate,0.0
