Component,Explained_Variance_Ratio,Cumulative_Explained_Variance
1,0.3346900414451937,0.3346900414451937
2,0.14913849921194489,0.4838285406571386
3,0.10479668308856606,0.5886252237457047
4,0.10234854420445447,0.6909737679501592
5,0.074770374877645,0.7657441428278042
6,0.06416706254403474,0.8299112053718389
7,0.04463131311287284,0.8745425184847118
8,0.030192277855295605,0.9047347963400074
9,0.025140860841075224,0.9298756571810827
10,0.021086246335671518,0.9509619035167541
11,0.015816921343405597,0.9667788248601598
12,0.015117216228580765,0.9818960410887405
13,0.007374591252721552,0.9892706323414621
14,0.0063099076467346546,0.9955805399881967
15,0.0029205863334635343,0.9985011263216602
16,0.001498873678339999,1.0000000000000002
17,2.1213923615647204e-17,1.0000000000000002
18,1.010500953668569e-17,1.0000000000000002
19,0.0,1.0000000000000002
20,0.0,1.0000000000000002
21,0.0,1.0000000000000002
